CCA,estimated_median_income
Albany Park,82249.35405790224
Archer Heights,67397.23409090909
Armour Square,43502.61521265134
Ashburn,80909.4494764398
Auburn Gresham,45489.41258741259
Austin,44882.26510989011
Avalon Park,55946.129326241964
Avondale,92644.1112804878
Belmont Cragin,67003.54108216433
Beverly,127056.10667752443
Bridgeport,73230.95786950544
Brighton Park,58095.00362318841
Burnside,48227.20253164557
Calumet Heights,68354.36528497409
Chatham,42090.65788369558
Chicago Lawn,48782.498435054775
Clearing,78378.24324324324
Douglas,47425.76843657817
Dunning,84684.03308305959
East Garfield Park,36810.98032407407
East Side,62025.09509519473
Edgewater,70187.74486116119
Edison Park,133209.41737288135
Englewood,29726.017064846415
Forest Glen,138252.48192771085
Fuller Park,17657.246404799072
Gage Park,57445.49193548387
Garfield Ridge,91761.53365384616
Grand Boulevard,49091.59075907591
Greater Grand Crossing,40337.9152360515
Hegewisch,59554.06721893305
Hermosa,67038.63687150838
Humboldt Park,53567.3288209607
Hyde Park,68165.69923857867
Irving Park,88437.08784596871
Jefferson Park,93705.26583493283
Kenwood,61077.980680061824
Lake View,104135.14078002053
Lincoln Park,137504.27444614208
Lincoln Square,93604.9202614379
Logan Square,103751.88618720802
Lower West Side,71733.87472924188
McKinley Park,76145.6170212766
Montclare,78840.9921875
Morgan Park,73838.7329207156
Mount Greenwood,115749.10032362459
Near North Side,122602.26006124234
Near South Side,124965.99801980198
Near West Side,110650.63049685894
New City,49356.367045169995
North Center,145156.05647058823
North Lawndale,37246.973195876286
North Park,77368.32631578947
Norwood Park,109002.94945217902
O'Hare,76283.96250113004
Oakland,29958.68548387097
Portage Park,89490.25048262549
Pullman,54684.846153846156
Riverdale,20515.521875
Rogers Park,59552.90750816104
Roseland,50453.59371884347
South Chicago,42455.18262411348
South Deering,37094.956647398845
South Lawndale,47514.587525150906
South Shore,39961.7556178735
The Loop,119835.99246704331
Uptown,68443.89798039797
Washington Heights,69525.5745967742
Washington Park,27868.016025641024
West Elsdon,70781.33247863248
West Englewood,34375.19316239316
West Garfield Park,38177.93571428571
West Lawn,73410.70810313076
West Pullman,50429.64453125
West Ridge,71524.00270607827
West Town,134132.87031316297
Woodlawn,35619.408577070564
