CCA,est_total,est_population_assessed_poverty,pct_est_population_assessed_poverty
Albany Park,45159.0,6149.0,0.13616333399765274
Archer Heights,13942.0,1255.0,0.09001577965858557
Armour Square,14222.256914361878,3522.5124958347214,0.247676055709388
Ashburn,41564.0,6641.0,0.15977769223366375
Auburn Gresham,44985.0,11209.0,0.2491719462042903
Austin,97612.0,24151.0,0.24741835020284392
Avalon Park,9446.869230769229,1631.6086538461536,0.17271422033999054
Avondale,35345.0,4674.0,0.13223935492997596
Belmont Cragin,72391.0,10672.0,0.14742164081170311
Beverly,19377.0,1136.0,0.058626206327088815
Bridgeport,33041.74308563812,5028.487504165279,0.1521859028784397
Brighton Park,41800.0,8178.0,0.19564593301435407
Burnside,2148.0,505.0,0.2351024208566108
Calumet Heights,11509.0,1842.0,0.1600486575723347
Chatham,30690.130769230767,7745.391346153846,0.2523740092342389
Chicago Lawn,52993.0,11916.0,0.22485988715490726
Clearing,24748.0,1924.0,0.07774365605301438
Douglas,19900.0,5536.0,0.27819095477386935
Dunning,41609.0,3643.0,0.08755317359225168
East Garfield Park,20297.0,7914.0,0.3899098388924472
East Side,22711.075563822367,3687.0642176238084,0.16234652591694607
Edgewater,53151.0,7230.0,0.13602754416661963
Edison Park,11185.0,775.0,0.06928922664282522
Englewood,21303.0,6959.0,0.32666760550157253
Forest Glen,19456.0,844.0,0.043379934210526314
Fuller Park,2233.8480565371024,1182.8174322732625,0.5294977108276822
Gage Park,35565.0,5525.0,0.15534936032616337
Garfield Ridge,36135.0,2630.0,0.07278262072782621
Grand Boulevard,26081.0,6522.0,0.2500670986541927
Greater Grand Crossing,29125.0,7981.0,0.2740257510729614
Hegewisch,9049.924436177633,998.9357823761917,0.11038056609432938
Hermosa,22656.0,3376.0,0.14901129943502825
Humboldt Park,55298.0,14471.0,0.26169120040507793
Hyde Park,27173.0,5954.0,0.21911456224929157
Irving Park,53441.0,5607.0,0.10491944387268202
Jefferson Park,26548.0,1598.0,0.060192858219074885
Kenwood,18003.0,4295.0,0.2385713492195745
Lake View,100901.0,8205.0,0.08131733084905006
Lincoln Park,65008.0,5448.0,0.08380507014521289
Lincoln Square,41187.0,3966.0,0.0962925194843033
Logan Square,70640.70224078998,7580.750854538549,0.10731420574923453
Lower West Side,33262.0,5345.0,0.16069388491371536
McKinley Park,15361.0,1787.0,0.11633357203307076
Montclare,13921.0,1414.0,0.10157316284749658
Morgan Park,20831.652077656676,2636.9931880108993,0.12658588854022043
Mount Greenwood,18122.0,1019.0,0.056229996689107165
Near North Side,102915.0,10294.0,0.10002429189136666
Near South Side,29007.0,2169.0,0.0747750542972386
Near West Side,62542.0,9903.0,0.15834159444853058
New City,41578.1519434629,11297.182567726737,0.2717095888025136
North Center,35288.0,1651.0,0.046786442983450464
North Lawndale,30819.0,10238.0,0.33219767026834096
North Park,18278.0,3012.0,0.16478827005142796
Norwood Park,38453.80070253282,2585.7757441301533,0.06724369755106775
O'Hare,13985.670150053591,1176.8480707395497,0.08414670574330971
Oakland,6935.0,2446.0,0.35270367700072097
Portage Park,61514.0,5965.0,0.09696979549370875
Pullman,6730.0,1439.0,0.2138187221396731
Riverdale,7525.0,4143.0,0.5505647840531561
Rogers Park,51308.0,9274.0,0.18075153972090122
Roseland,36026.0,7807.0,0.21670460223172153
South Chicago,29000.0,8497.0,0.293
South Deering,14129.0,4194.0,0.2968362941467903
South Lawndale,60524.0,12813.0,0.2117011433480933
South Shore,53095.17239498091,15652.402618657938,0.29479897912785685
The Loop,38529.0,3708.0,0.0962391964494277
Uptown,55930.0,11573.0,0.2069193634900769
Washington Heights,25002.0,3894.0,0.15574754019678425
Washington Park,13034.0,5964.0,0.45757250268528465
West Elsdon,18568.0,1928.0,0.1038345540715209
West Englewood,26680.0,8844.0,0.33148425787106445
West Garfield Park,15482.0,4894.0,0.3161090298411058
West Lawn,32419.0,5058.0,0.1560196181251735
West Pullman,24433.0,5991.0,0.24520116236237874
West Ridge,76949.0,13417.0,0.1743622399251452
West Town,85878.29775921002,7664.249145461451,0.08924547115443375
Woodlawn,22918.827605019094,7229.597381342062,0.31544359536780237
